ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
1175,2011,US,National,BRFSS,Obesity / Weight Status,20.6,162,648,College graduate,EDUCOGRAD,0
25092,2011,AL,Alabama,BRFSS,Obesity / Weight Status,26.4,1,812,College graduate,EDUCOGRAD,1
19523,2011,AK,Alaska,BRFSS,Obesity / Weight Status,22.1,1,150,College graduate,EDUCOGRAD,2
5353,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,17.4,2,050,College graduate,EDUCOGRAD,4
31656,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,26.4,1,175,College graduate,EDUCOGRAD,5
17431,2011,CA,California,BRFSS,Obesity / Weight Status,15.3,6,681,College graduate,EDUCOGRAD,6
12676,2011,CO,Colorado,BRFSS,Obesity / Weight Status,15.6,5,576,College graduate,EDUCOGRAD,8
27554,2011,CT,Connecticut,BRFSS,Obesity / Weight Status,16.7,2,926,College graduate,EDUCOGRAD,9
15545,2011,DE,Delaware,BRFSS,Obesity / Weight Status,24.1,1,601,College graduate,EDUCOGRAD,10
33385,2011,DC,District of Columbia,BRFSS,Obesity / Weight Status,11.9,2,665,College graduate,EDUCOGRAD,11
9897,2011,FL,Florida,BRFSS,Obesity / Weight Status,21.1,3,793,College graduate,EDUCOGRAD,12
29387,2011,GA,Georgia,BRFSS,Obesity / Weight Status,21.4,3,185,College graduate,EDUCOGRAD,13
20406,2011,HI,Hawaii,BRFSS,Obesity / Weight Status,15.2,3,033,College graduate,EDUCOGRAD,15
24118,2011,ID,Idaho,BRFSS,Obesity / Weight Status,21.5,1,761,College graduate,EDUCOGRAD,16
37561,2011,IL,Illinois,BRFSS,Obesity / Weight Status,23.4,1,903,College graduate,EDUCOGRAD,17
14516,2011,IN,Indiana,BRFSS,Obesity / Weight Status,23.5,2,242,College graduate,EDUCOGRAD,18
10048,2011,IA,Iowa,BRFSS,Obesity / Weight Status,23.2,2,049,College graduate,EDUCOGRAD,19
12761,2011,KS,Kansas,BRFSS,Obesity / Weight Status,24.9,7,012,College graduate,EDUCOGRAD,20
4979,2011,KY,Kentucky,BRFSS,Obesity / Weight Status,24.4,2,384,College graduate,EDUCOGRAD,21
37767,2011,LA,Louisiana,BRFSS,Obesity / Weight Status,26.6,2,751,College graduate,EDUCOGRAD,22
28097,2011,ME,Maine,BRFSS,Obesity / Weight Status,20.2,4,610,College graduate,EDUCOGRAD,23
32326,2011,MD,Maryland,BRFSS,Obesity / Weight Status,21.3,4,019,College graduate,EDUCOGRAD,24
37784,2011,MA,Massachusetts,BRFSS,Obesity / Weight Status,17.3,8,708,College graduate,EDUCOGRAD,25
8313,2011,MI,Michigan,BRFSS,Obesity / Weight Status,26.6,3,634,College graduate,EDUCOGRAD,26
21154,2011,MN,Minnesota,BRFSS,Obesity / Weight Status,20.1,5,881,College graduate,EDUCOGRAD,27
31811,2011,MS,Mississippi,BRFSS,Obesity / Weight Status,31.2,2,076,College graduate,EDUCOGRAD,28
20837,2011,MO,Missouri,BRFSS,Obesity / Weight Status,26.4,1,698,College graduate,EDUCOGRAD,29
8599,2011,MT,Montana,BRFSS,Obesity / Weight Status,20.2,3,082,College graduate,EDUCOGRAD,30
30746,2011,NE,Nebraska,BRFSS,Obesity / Weight Status,24.1,6,771,College graduate,EDUCOGRAD,31
12585,2011,NV,Nevada,BRFSS,Obesity / Weight Status,19.4,1,717,College graduate,EDUCOGRAD,32
27485,2011,NH,New Hampshire,BRFSS,Obesity / Weight Status,19.6,2,452,College graduate,EDUCOGRAD,33
17926,2011,NJ,New Jersey,BRFSS,Obesity / Weight Status,17.4,5,769,College graduate,EDUCOGRAD,34
4526,2011,NM,New Mexico,BRFSS,Obesity / Weight Status,19.4,3,044,College graduate,EDUCOGRAD,35
13293,2011,NY,New York,BRFSS,Obesity / Weight Status,18.2,3,070,College graduate,EDUCOGRAD,36
30100,2011,NC,North Carolina,BRFSS,Obesity / Weight Status,22.2,3,633,College graduate,EDUCOGRAD,37
4689,2011,ND,North Dakota,BRFSS,Obesity / Weight Status,26.5,1,633,College graduate,EDUCOGRAD,38
35025,2011,OH,Ohio,BRFSS,Obesity / Weight Status,22,2,904,College graduate,EDUCOGRAD,39
9435,2011,OK,Oklahoma,BRFSS,Obesity / Weight Status,26.5,2,270,College graduate,EDUCOGRAD,40
25078,2011,OR,Oregon,BRFSS,Obesity / Weight Status,17.1,2,223,College graduate,EDUCOGRAD,41
21199,2011,PA,Pennsylvania,BRFSS,Obesity / Weight Status,21.5,3,421,College graduate,EDUCOGRAD,42
37211,2011,RI,Rhode Island,BRFSS,Obesity / Weight Status,19.3,2,436,College graduate,EDUCOGRAD,44
37780,2011,SC,South Carolina,BRFSS,Obesity / Weight Status,25.3,3,624,College graduate,EDUCOGRAD,45
22650,2011,SD,South Dakota,BRFSS,Obesity / Weight Status,26.1,2,463,College graduate,EDUCOGRAD,46
