ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
671,2011,US,National,BRFSS,Obesity / Weight Status,27.4,470,700,Total,OVERALL,0
2279,2011,AL,Alabama,BRFSS,Obesity / Weight Status,32,7,304,Total,OVERALL,1
21294,2011,AK,Alaska,BRFSS,Obesity / Weight Status,27.4,3,336,Total,OVERALL,2
24644,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,25.1,6,150,Total,OVERALL,4
13264,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,30.9,4,527,Total,OVERALL,5
26780,2011,CA,California,BRFSS,Obesity / Weight Status,23.8,17,088,Total,OVERALL,6
21908,2011,CO,Colorado,BRFSS,Obesity / Weight Status,20.7,12,976,Total,OVERALL,8
36642,2011,CT,Connecticut,BRFSS,Obesity / Weight Status,24.5,6,457,Total,OVERALL,9
8600,2011,DE,Delaware,BRFSS,Obesity / Weight Status,28.8,4,530,Total,OVERALL,10
27392,2011,DC,District of Columbia,BRFSS,Obesity / Weight Status,23.7,4,368,Total,OVERALL,11
16906,2011,FL,Florida,BRFSS,Obesity / Weight Status,26.6,11,770,Total,OVERALL,12
22677,2011,GA,Georgia,BRFSS,Obesity / Weight Status,28,9,353,Total,OVERALL,13
33148,2011,HI,Hawaii,BRFSS,Obesity / Weight Status,21.8,7,407,Total,OVERALL,15
7081,2011,ID,Idaho,BRFSS,Obesity / Weight Status,27,5,739,Total,OVERALL,16
21933,2011,IL,Illinois,BRFSS,Obesity / Weight Status,27.1,5,355,Total,OVERALL,17
9566,2011,IN,Indiana,BRFSS,Obesity / Weight Status,30.8,8,048,Total,OVERALL,18
25608,2011,IA,Iowa,BRFSS,Obesity / Weight Status,29,6,898,Total,OVERALL,19
31921,2011,KS,Kansas,BRFSS,Obesity / Weight Status,29.6,19,619,Total,OVERALL,20
29505,2011,KY,Kentucky,BRFSS,Obesity / Weight Status,30.4,10,114,Total,OVERALL,21
34571,2011,LA,Louisiana,BRFSS,Obesity / Weight Status,33.4,10,404,Total,OVERALL,22
19185,2011,ME,Maine,BRFSS,Obesity / Weight Status,27.8,12,643,Total,OVERALL,23
2617,2011,MD,Maryland,BRFSS,Obesity / Weight Status,28.3,9,450,Total,OVERALL,24
22132,2011,MA,Massachusetts,BRFSS,Obesity / Weight Status,22.7,20,532,Total,OVERALL,25
3937,2011,MI,Michigan,BRFSS,Obesity / Weight Status,31.3,10,579,Total,OVERALL,26
11295,2011,MN,Minnesota,BRFSS,Obesity / Weight Status,25.7,14,387,Total,OVERALL,27
30811,2011,MS,Mississippi,BRFSS,Obesity / Weight Status,34.9,8,504,Total,OVERALL,28
39115,2011,MO,Missouri,BRFSS,Obesity / Weight Status,30.3,6,095,Total,OVERALL,29
35295,2011,MT,Montana,BRFSS,Obesity / Weight Status,24.6,9,882,Total,OVERALL,30
7583,2011,NE,Nebraska,BRFSS,Obesity / Weight Status,28.4,24,366,Total,OVERALL,31
20551,2011,NV,Nevada,BRFSS,Obesity / Weight Status,24.5,5,205,Total,OVERALL,32
32746,2011,NH,New Hampshire,BRFSS,Obesity / Weight Status,26.2,6,049,Total,OVERALL,33
25331,2011,NJ,New Jersey,BRFSS,Obesity / Weight Status,23.7,14,130,Total,OVERALL,34
34472,2011,NM,New Mexico,BRFSS,Obesity / Weight Status,26.3,8,981,Total,OVERALL,35
10456,2011,NY,New York,BRFSS,Obesity / Weight Status,24.5,7,222,Total,OVERALL,36
26625,2011,NC,North Carolina,BRFSS,Obesity / Weight Status,29.1,10,790,Total,OVERALL,37
19329,2011,ND,North Dakota,BRFSS,Obesity / Weight Status,27.8,4,982,Total,OVERALL,38
30170,2011,OH,Ohio,BRFSS,Obesity / Weight Status,29.6,9,339,Total,OVERALL,39
26863,2011,OK,Oklahoma,BRFSS,Obesity / Weight Status,31.1,8,159,Total,OVERALL,40
20839,2011,OR,Oregon,BRFSS,Obesity / Weight Status,26.7,5,959,Total,OVERALL,41
35151,2011,PA,Pennsylvania,BRFSS,Obesity / Weight Status,28.6,10,850,Total,OVERALL,42
4410,2011,RI,Rhode Island,BRFSS,Obesity / Weight Status,25.4,6,182,Total,OVERALL,44
12150,2011,SC,South Carolina,BRFSS,Obesity / Weight Status,30.8,12,352,Total,OVERALL,45
7416,2011,SD,South Dakota,BRFSS,Obesity / Weight Status,28.1,7,820,Total,OVERALL,46
3871,2011,TN,Tennessee,BRFSS,Obesity / Weight Status,29.2,5,575,Total,OVERALL,47
33109,2011,TX,Texas,BRFSS,Obesity / Weight Status,30.4,14,024,Total,OVERALL,48
36617,2011,UT,Utah,BRFSS,Obesity / Weight Status,24.4,11,918,Total,OVERALL,49
12465,2011,VT,Vermont,BRFSS,Obesity / Weight Status,25.4,6,771,Total,OVERALL,50
23634,2011,VA,Virginia,BRFSS,Obesity / Weight Status,29.2,6,151,Total,OVERALL,51
5904,2011,WA,Washington,BRFSS,Obesity / Weight Status,26.5,13,896,Total,OVERALL,53
33119,2011,WV,West Virginia,BRFSS,Obesity / Weight Status,32.4,4,958,Total,OVERALL,54
13960,2011,WI,Wisconsin,BRFSS,Obesity / Weight Status,27.7,4,941,Total,OVERALL,55
7665,2011,WY,Wyoming,BRFSS,Obesity / Weight Status,25,6,565,Total,OVERALL,56
