ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
39765,2016,US,National,BRFSS,Obesity / Weight Status,32,54,639,$35,000 - $49,999,INC3550,0
43419,2016,AL,Alabama,BRFSS,Obesity / Weight Status,37.5,712,$35,000 - $49,999,INC3550,1
44014,2016,AK,Alaska,BRFSS,Obesity / Weight Status,30.1,283,$35,000 - $49,999,INC3550,2
43463,2016,AZ,Arizona,BRFSS,Obesity / Weight Status,31.2,1,355,$35,000 - $49,999,INC3550,4
41267,2016,AR,Arkansas,BRFSS,Obesity / Weight Status,40.3,572,$35,000 - $49,999,INC3550,5
41548,2016,CA,California,BRFSS,Obesity / Weight Status,27.3,1,040,$35,000 - $49,999,INC3550,6
40870,2016,CO,Colorado,BRFSS,Obesity / Weight Status,21.2,1,621,$35,000 - $49,999,INC3550,8
42930,2016,CT,Connecticut,BRFSS,Obesity / Weight Status,27.9,923,$35,000 - $49,999,INC3550,9
39625,2016,DE,Delaware,BRFSS,Obesity / Weight Status,34.7,484,$35,000 - $49,999,INC3550,10
42311,2016,DC,District of Columbia,BRFSS,Obesity / Weight Status,28.4,290,$35,000 - $49,999,INC3550,11
41025,2016,FL,Florida,BRFSS,Obesity / Weight Status,27.7,4,193,$35,000 - $49,999,INC3550,12
41486,2016,GA,Georgia,BRFSS,Obesity / Weight Status,41.1,575,$35,000 - $49,999,INC3550,13
43011,2016,HI,Hawaii,BRFSS,Obesity / Weight Status,25.7,1,003,$35,000 - $49,999,INC3550,15
40326,2016,ID,Idaho,BRFSS,Obesity / Weight Status,23.8,704,$35,000 - $49,999,INC3550,16
41016,2016,IL,Illinois,BRFSS,Obesity / Weight Status,31,574,$35,000 - $49,999,INC3550,17
40630,2016,IN,Indiana,BRFSS,Obesity / Weight Status,33.3,1,425,$35,000 - $49,999,INC3550,18
40871,2016,IA,Iowa,BRFSS,Obesity / Weight Status,32.7,902,$35,000 - $49,999,INC3550,19
42820,2016,KS,Kansas,BRFSS,Obesity / Weight Status,34.8,1,506,$35,000 - $49,999,INC3550,20
41388,2016,KY,Kentucky,BRFSS,Obesity / Weight Status,38.3,1,152,$35,000 - $49,999,INC3550,21
41040,2016,LA,Louisiana,BRFSS,Obesity / Weight Status,38.4,591,$35,000 - $49,999,INC3550,22
42874,2016,ME,Maine,BRFSS,Obesity / Weight Status,33.1,1,362,$35,000 - $49,999,INC3550,23
43538,2016,MD,Maryland,BRFSS,Obesity / Weight Status,35.8,1,633,$35,000 - $49,999,INC3550,24
44017,2016,MA,Massachusetts,BRFSS,Obesity / Weight Status,27.7,754,$35,000 - $49,999,INC3550,25
43435,2016,MI,Michigan,BRFSS,Obesity / Weight Status,37,1,483,$35,000 - $49,999,INC3550,26
42307,2016,MN,Minnesota,BRFSS,Obesity / Weight Status,29.2,2,034,$35,000 - $49,999,INC3550,27
41642,2016,MS,Mississippi,BRFSS,Obesity / Weight Status,35.8,556,$35,000 - $49,999,INC3550,28
42966,2016,MO,Missouri,BRFSS,Obesity / Weight Status,33,867,$35,000 - $49,999,INC3550,29
44200,2016,MT,Montana,BRFSS,Obesity / Weight Status,24.2,761,$35,000 - $49,999,INC3550,30
41237,2016,NE,Nebraska,BRFSS,Obesity / Weight Status,35.8,2,137,$35,000 - $49,999,INC3550,31
43681,2016,NV,Nevada,BRFSS,Obesity / Weight Status,26.2,478,$35,000 - $49,999,INC3550,32
40269,2016,NH,New Hampshire,BRFSS,Obesity / Weight Status,31.4,713,$35,000 - $49,999,INC3550,33
40634,2016,NJ,New Jersey,BRFSS,Obesity / Weight Status,30.8,635,$35,000 - $49,999,INC3550,34
41072,2016,NM,New Mexico,BRFSS,Obesity / Weight Status,29.4,713,$35,000 - $49,999,INC3550,35
40584,2016,NY,New York,BRFSS,Obesity / Weight Status,29.7,3,871,$35,000 - $49,999,INC3550,36
40430,2016,NC,North Carolina,BRFSS,Obesity / Weight Status,32.2,746,$35,000 - $49,999,INC3550,37
43069,2016,ND,North Dakota,BRFSS,Obesity / Weight Status,35,768,$35,000 - $49,999,INC3550,38
40955,2016,OH,Ohio,BRFSS,Obesity / Weight Status,30.9,1,478,$35,000 - $49,999,INC3550,39
39611,2016,OK,Oklahoma,BRFSS,Obesity / Weight Status,34.5,853,$35,000 - $49,999,INC3550,40
43210,2016,OR,Oregon,BRFSS,Obesity / Weight Status,32.6,622,$35,000 - $49,999,INC3550,41
43303,2016,PA,Pennsylvania,BRFSS,Obesity / Weight Status,31,818,$35,000 - $49,999,INC3550,42
41307,2016,RI,Rhode Island,BRFSS,Obesity / Weight Status,28.8,547,$35,000 - $49,999,INC3550,44
39957,2016,SC,South Carolina,BRFSS,Obesity / Weight Status,33.4,1,306,$35,000 - $49,999,INC3550,45
41565,2016,SD,South Dakota,BRFSS,Obesity / Weight Status,31.8,793,$35,000 - $49,999,INC3550,46
43409,2016,TN,Tennessee,BRFSS,Obesity / Weight Status,38.8,769,$35,000 - $49,999,INC3550,47
41820,2016,TX,Texas,BRFSS,Obesity / Weight Status,36.2,1,310,$35,000 - $49,999,INC3550,48
41383,2016,UT,Utah,BRFSS,Obesity / Weight Status,30.1,1,245,$35,000 - $49,999,INC3550,49
40668,2016,VT,Vermont,BRFSS,Obesity / Weight Status,26,819,$35,000 - $49,999,INC3550,50
43941,2016,VA,Virginia,BRFSS,Obesity / Weight Status,31.7,986,$35,000 - $49,999,INC3550,51
41170,2016,WA,Washington,BRFSS,Obesity / Weight Status,31.2,1,657,$35,000 - $49,999,INC3550,53
39609,2016,WV,West Virginia,BRFSS,Obesity / Weight Status,40.6,800,$35,000 - $49,999,INC3550,54
42542,2016,WI,Wisconsin,BRFSS,Obesity / Weight Status,33.3,645,$35,000 - $49,999,INC3550,55
43316,2016,WY,Wyoming,BRFSS,Obesity / Weight Status,28.1,575,$35,000 - $49,999,INC3550,56
43065,2016,GU,Guam,BRFSS,Obesity / Weight Status,33.3,224,$35,000 - $49,999,INC3550,66
42275,2016,PR,Puerto Rico,BRFSS,Obesity / Weight Status,31.5,328,$35,000 - $49,999,INC3550,72
42412,2016,VI,Virgin Islands,BRFSS,Obesity / Weight Status,36.3,153,$35,000 - $49,999,INC3550,78
