ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
1936,2014,US,National,BRFSS,Obesity / Weight Status,25.1,112,498,$75,000 or greater,INC75PLUS,0
15020,2014,AL,Alabama,BRFSS,Obesity / Weight Status,31,1,425,$75,000 or greater,INC75PLUS,1
23881,2014,AK,Alaska,BRFSS,Obesity / Weight Status,29.3,1,587,$75,000 or greater,INC75PLUS,2
35703,2014,AZ,Arizona,BRFSS,Obesity / Weight Status,26.5,3,258,$75,000 or greater,INC75PLUS,4
17462,2014,AR,Arkansas,BRFSS,Obesity / Weight Status,33.6,765,$75,000 or greater,INC75PLUS,5
15061,2014,CA,California,BRFSS,Obesity / Weight Status,22.3,2,551,$75,000 or greater,INC75PLUS,6
17368,2014,CO,Colorado,BRFSS,Obesity / Weight Status,18.8,4,066,$75,000 or greater,INC75PLUS,8
37006,2014,CT,Connecticut,BRFSS,Obesity / Weight Status,23.9,2,666,$75,000 or greater,INC75PLUS,9
37718,2014,DE,Delaware,BRFSS,Obesity / Weight Status,24.9,1,052,$75,000 or greater,INC75PLUS,10
33295,2014,DC,District of Columbia,BRFSS,Obesity / Weight Status,12.1,1,537,$75,000 or greater,INC75PLUS,11
29762,2014,FL,Florida,BRFSS,Obesity / Weight Status,23.5,2,174,$75,000 or greater,INC75PLUS,12
17869,2014,GA,Georgia,BRFSS,Obesity / Weight Status,24.1,1,430,$75,000 or greater,INC75PLUS,13
4465,2014,HI,Hawaii,BRFSS,Obesity / Weight Status,21.4,1,867,$75,000 or greater,INC75PLUS,15
18501,2014,ID,Idaho,BRFSS,Obesity / Weight Status,25.8,1,058,$75,000 or greater,INC75PLUS,16
34653,2014,IL,Illinois,BRFSS,Obesity / Weight Status,25.9,1,645,$75,000 or greater,INC75PLUS,17
3713,2014,IN,Indiana,BRFSS,Obesity / Weight Status,30.6,2,448,$75,000 or greater,INC75PLUS,18
38713,2014,IA,Iowa,BRFSS,Obesity / Weight Status,28.9,1,978,$75,000 or greater,INC75PLUS,19
34950,2014,KS,Kansas,BRFSS,Obesity / Weight Status,27.7,3,230,$75,000 or greater,INC75PLUS,20
6697,2014,KY,Kentucky,BRFSS,Obesity / Weight Status,28.1,1,852,$75,000 or greater,INC75PLUS,21
20419,2014,LA,Louisiana,BRFSS,Obesity / Weight Status,33.7,1,459,$75,000 or greater,INC75PLUS,22
15657,2014,ME,Maine,BRFSS,Obesity / Weight Status,23.7,2,048,$75,000 or greater,INC75PLUS,23
26798,2014,MD,Maryland,BRFSS,Obesity / Weight Status,26.9,4,427,$75,000 or greater,INC75PLUS,24
28497,2014,MA,Massachusetts,BRFSS,Obesity / Weight Status,19.5,4,587,$75,000 or greater,INC75PLUS,25
39301,2014,MI,Michigan,BRFSS,Obesity / Weight Status,27.5,2,107,$75,000 or greater,INC75PLUS,26
16742,2014,MN,Minnesota,BRFSS,Obesity / Weight Status,24.5,4,911,$75,000 or greater,INC75PLUS,27
35671,2014,MS,Mississippi,BRFSS,Obesity / Weight Status,30.1,621,$75,000 or greater,INC75PLUS,28
30359,2014,MO,Missouri,BRFSS,Obesity / Weight Status,26.1,1,314,$75,000 or greater,INC75PLUS,29
6312,2014,MT,Montana,BRFSS,Obesity / Weight Status,24.1,1,456,$75,000 or greater,INC75PLUS,30
4652,2014,NE,Nebraska,BRFSS,Obesity / Weight Status,28.1,4,879,$75,000 or greater,INC75PLUS,31
25314,2014,NV,Nevada,BRFSS,Obesity / Weight Status,22.6,946,$75,000 or greater,INC75PLUS,32
20029,2014,NH,New Hampshire,BRFSS,Obesity / Weight Status,23.5,1,672,$75,000 or greater,INC75PLUS,33
36467,2014,NJ,New Jersey,BRFSS,Obesity / Weight Status,24.2,4,148,$75,000 or greater,INC75PLUS,34
5823,2014,NM,New Mexico,BRFSS,Obesity / Weight Status,24.2,1,745,$75,000 or greater,INC75PLUS,35
32816,2014,NY,New York,BRFSS,Obesity / Weight Status,22.3,1,893,$75,000 or greater,INC75PLUS,36
14417,2014,NC,North Carolina,BRFSS,Obesity / Weight Status,24,1,401,$75,000 or greater,INC75PLUS,37
18345,2014,ND,North Dakota,BRFSS,Obesity / Weight Status,29.8,2,408,$75,000 or greater,INC75PLUS,38
35815,2014,OH,Ohio,BRFSS,Obesity / Weight Status,28.4,2,271,$75,000 or greater,INC75PLUS,39
35831,2014,OK,Oklahoma,BRFSS,Obesity / Weight Status,30.8,1,769,$75,000 or greater,INC75PLUS,40
17925,2014,OR,Oregon,BRFSS,Obesity / Weight Status,25.3,1,198,$75,000 or greater,INC75PLUS,41
21860,2014,PA,Pennsylvania,BRFSS,Obesity / Weight Status,24.4,2,475,$75,000 or greater,INC75PLUS,42
3513,2014,RI,Rhode Island,BRFSS,Obesity / Weight Status,20.5,1,762,$75,000 or greater,INC75PLUS,44
28859,2014,SC,South Carolina,BRFSS,Obesity / Weight Status,29.3,2,154,$75,000 or greater,INC75PLUS,45
12844,2014,SD,South Dakota,BRFSS,Obesity / Weight Status,29.8,1,630,$75,000 or greater,INC75PLUS,46
1628,2014,TN,Tennessee,BRFSS,Obesity / Weight Status,26.6,810,$75,000 or greater,INC75PLUS,47
24675,2014,TX,Texas,BRFSS,Obesity / Weight Status,26.6,3,659,$75,000 or greater,INC75PLUS,48
18776,2014,UT,Utah,BRFSS,Obesity / Weight Status,22.4,4,402,$75,000 or greater,INC75PLUS,49
22293,2014,VT,Vermont,BRFSS,Obesity / Weight Status,18.3,1,695,$75,000 or greater,INC75PLUS,50
30264,2014,VA,Virginia,BRFSS,Obesity / Weight Status,25.4,2,860,$75,000 or greater,INC75PLUS,51
17662,2014,WA,Washington,BRFSS,Obesity / Weight Status,25.6,2,976,$75,000 or greater,INC75PLUS,53
38558,2014,WV,West Virginia,BRFSS,Obesity / Weight Status,32.2,1,045,$75,000 or greater,INC75PLUS,54
8311,2014,WI,Wisconsin,BRFSS,Obesity / Weight Status,28.7,1,683,$75,000 or greater,INC75PLUS,55
13157,2014,WY,Wyoming,BRFSS,Obesity / Weight Status,28.3,1,498,$75,000 or greater,INC75PLUS,56
1166,2014,GU,Guam,BRFSS,Obesity / Weight Status,23.3,436,$75,000 or greater,INC75PLUS,66
1092,2014,PR,Puerto Rico,BRFSS,Obesity / Weight Status,16.9,199,$75,000 or greater,INC75PLUS,72
