ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
1437,2013,US,National,BRFSS,Obesity / Weight Status,33.5,101,611,55 - 64,AGEYR5564,0
18286,2013,AL,Alabama,BRFSS,Obesity / Weight Status,37.1,1,509,55 - 64,AGEYR5564,1
33056,2013,AK,Alaska,BRFSS,Obesity / Weight Status,33.1,1,042,55 - 64,AGEYR5564,2
36983,2013,AZ,Arizona,BRFSS,Obesity / Weight Status,30.4,858,55 - 64,AGEYR5564,4
2367,2013,AR,Arkansas,BRFSS,Obesity / Weight Status,38.5,1,183,55 - 64,AGEYR5564,5
30683,2013,CA,California,BRFSS,Obesity / Weight Status,30.3,2,031,55 - 64,AGEYR5564,6
17459,2013,CO,Colorado,BRFSS,Obesity / Weight Status,24.9,2,984,55 - 64,AGEYR5564,8
28530,2013,CT,Connecticut,BRFSS,Obesity / Weight Status,28.4,1,662,55 - 64,AGEYR5564,9
32285,2013,DE,Delaware,BRFSS,Obesity / Weight Status,34.6,1,067,55 - 64,AGEYR5564,10
3010,2013,DC,District of Columbia,BRFSS,Obesity / Weight Status,30.1,1,042,55 - 64,AGEYR5564,11
13178,2013,FL,Florida,BRFSS,Obesity / Weight Status,28,6,936,55 - 64,AGEYR5564,12
27280,2013,GA,Georgia,BRFSS,Obesity / Weight Status,35.9,1,763,55 - 64,AGEYR5564,13
19128,2013,HI,Hawaii,BRFSS,Obesity / Weight Status,21.9,1,625,55 - 64,AGEYR5564,15
25813,2013,ID,Idaho,BRFSS,Obesity / Weight Status,34.8,1,089,55 - 64,AGEYR5564,16
30056,2013,IL,Illinois,BRFSS,Obesity / Weight Status,34.8,1,174,55 - 64,AGEYR5564,17
27766,2013,IN,Indiana,BRFSS,Obesity / Weight Status,37,2,215,55 - 64,AGEYR5564,18
7181,2013,IA,Iowa,BRFSS,Obesity / Weight Status,37.4,1,713,55 - 64,AGEYR5564,19
2550,2013,KS,Kansas,BRFSS,Obesity / Weight Status,37,4,801,55 - 64,AGEYR5564,20
30231,2013,KY,Kentucky,BRFSS,Obesity / Weight Status,40.5,2,482,55 - 64,AGEYR5564,21
27436,2013,LA,Louisiana,BRFSS,Obesity / Weight Status,37.8,1,243,55 - 64,AGEYR5564,22
8964,2013,ME,Maine,BRFSS,Obesity / Weight Status,33.4,1,886,55 - 64,AGEYR5564,23
5336,2013,MD,Maryland,BRFSS,Obesity / Weight Status,33.1,2,845,55 - 64,AGEYR5564,24
1817,2013,MA,Massachusetts,BRFSS,Obesity / Weight Status,29,3,030,55 - 64,AGEYR5564,25
14892,2013,MI,Michigan,BRFSS,Obesity / Weight Status,37.6,2,723,55 - 64,AGEYR5564,26
