ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
228,2013,US,National,BRFSS,Obesity / Weight Status,27.1,358,345,Non-Hispanic White,RACEWHT,0
23736,2013,AL,Alabama,BRFSS,Obesity / Weight Status,29.6,4,453,Non-Hispanic White,RACEWHT,1
12459,2013,AK,Alaska,BRFSS,Obesity / Weight Status,26.4,3,194,Non-Hispanic White,RACEWHT,2
23646,2013,AZ,Arizona,BRFSS,Obesity / Weight Status,21.7,2,993,Non-Hispanic White,RACEWHT,4
32985,2013,AR,Arkansas,BRFSS,Obesity / Weight Status,32.3,3,867,Non-Hispanic White,RACEWHT,5
2195,2013,CA,California,BRFSS,Obesity / Weight Status,21.8,6,299,Non-Hispanic White,RACEWHT,6
38127,2013,CO,Colorado,BRFSS,Obesity / Weight Status,18.7,10,463,Non-Hispanic White,RACEWHT,8
20084,2013,CT,Connecticut,BRFSS,Obesity / Weight Status,23.3,5,721,Non-Hispanic White,RACEWHT,9
33380,2013,DE,Delaware,BRFSS,Obesity / Weight Status,29.3,3,653,Non-Hispanic White,RACEWHT,10
21125,2013,DC,District of Columbia,BRFSS,Obesity / Weight Status,9.8,2,135,Non-Hispanic White,RACEWHT,11
21592,2013,FL,Florida,BRFSS,Obesity / Weight Status,25.1,25,460,Non-Hispanic White,RACEWHT,12
28862,2013,GA,Georgia,BRFSS,Obesity / Weight Status,27.4,4,896,Non-Hispanic White,RACEWHT,13
10937,2013,HI,Hawaii,BRFSS,Obesity / Weight Status,19.1,2,374,Non-Hispanic White,RACEWHT,15
14358,2013,ID,Idaho,BRFSS,Obesity / Weight Status,28.4,4,806,Non-Hispanic White,RACEWHT,16
17991,2013,IL,Illinois,BRFSS,Obesity / Weight Status,27.9,4,441,Non-Hispanic White,RACEWHT,17
39186,2013,IN,Indiana,BRFSS,Obesity / Weight Status,30.6,8,515,Non-Hispanic White,RACEWHT,18
22177,2013,IA,Iowa,BRFSS,Obesity / Weight Status,31,7,178,Non-Hispanic White,RACEWHT,19
27346,2013,KS,Kansas,BRFSS,Obesity / Weight Status,29.4,19,105,Non-Hispanic White,RACEWHT,20
13038,2013,KY,Kentucky,BRFSS,Obesity / Weight Status,32.8,8,917,Non-Hispanic White,RACEWHT,21
36108,2013,LA,Louisiana,BRFSS,Obesity / Weight Status,30.2,3,385,Non-Hispanic White,RACEWHT,22
18318,2013,ME,Maine,BRFSS,Obesity / Weight Status,29,7,398,Non-Hispanic White,RACEWHT,23
35139,2013,MD,Maryland,BRFSS,Obesity / Weight Status,25.5,8,529,Non-Hispanic White,RACEWHT,24
37105,2013,MA,Massachusetts,BRFSS,Obesity / Weight Status,23,10,958,Non-Hispanic White,RACEWHT,25
7001,2013,MI,Michigan,BRFSS,Obesity / Weight Status,30.6,10,194,Non-Hispanic White,RACEWHT,26
31950,2013,MN,Minnesota,BRFSS,Obesity / Weight Status,25.2,11,927,Non-Hispanic White,RACEWHT,27
36093,2013,MS,Mississippi,BRFSS,Obesity / Weight Status,31.1,4,427,Non-Hispanic White,RACEWHT,28
37538,2013,MO,Missouri,BRFSS,Obesity / Weight Status,29.6,4,789,Non-Hispanic White,RACEWHT,29
33800,2013,MT,Montana,BRFSS,Obesity / Weight Status,23.2,8,118,Non-Hispanic White,RACEWHT,30
14058,2013,NE,Nebraska,BRFSS,Obesity / Weight Status,29.2,14,910,Non-Hispanic White,RACEWHT,31
15656,2013,NV,Nevada,BRFSS,Obesity / Weight Status,26.4,3,612,Non-Hispanic White,RACEWHT,32
15396,2013,NH,New Hampshire,BRFSS,Obesity / Weight Status,27.3,5,750,Non-Hispanic White,RACEWHT,33
6321,2013,NJ,New Jersey,BRFSS,Obesity / Weight Status,26,8,361,Non-Hispanic White,RACEWHT,34
36150,2013,NM,New Mexico,BRFSS,Obesity / Weight Status,21.9,4,545,Non-Hispanic White,RACEWHT,35
29130,2013,NY,New York,BRFSS,Obesity / Weight Status,24,5,618,Non-Hispanic White,RACEWHT,36
1917,2013,NC,North Carolina,BRFSS,Obesity / Weight Status,27.2,5,662,Non-Hispanic White,RACEWHT,37
6765,2013,ND,North Dakota,BRFSS,Obesity / Weight Status,31.2,6,885,Non-Hispanic White,RACEWHT,38
13858,2013,OH,Ohio,BRFSS,Obesity / Weight Status,30,9,679,Non-Hispanic White,RACEWHT,39
33749,2013,OK,Oklahoma,BRFSS,Obesity / Weight Status,31.6,5,850,Non-Hispanic White,RACEWHT,40
7210,2013,OR,Oregon,BRFSS,Obesity / Weight Status,25.9,4,927,Non-Hispanic White,RACEWHT,41
32186,2013,PA,Pennsylvania,BRFSS,Obesity / Weight Status,29.7,9,143,Non-Hispanic White,RACEWHT,42
13897,2013,RI,Rhode Island,BRFSS,Obesity / Weight Status,26.6,5,120,Non-Hispanic White,RACEWHT,44
39500,2013,SC,South Carolina,BRFSS,Obesity / Weight Status,27.6,6,764,Non-Hispanic White,RACEWHT,45
16603,2013,SD,South Dakota,BRFSS,Obesity / Weight Status,29.9,5,596,Non-Hispanic White,RACEWHT,46
22689,2013,TN,Tennessee,BRFSS,Obesity / Weight Status,33,4,480,Non-Hispanic White,RACEWHT,47
33983,2013,TX,Texas,BRFSS,Obesity / Weight Status,27.1,5,843,Non-Hispanic White,RACEWHT,48
2867,2013,UT,Utah,BRFSS,Obesity / Weight Status,23.6,10,718,Non-Hispanic White,RACEWHT,49
19272,2013,VT,Vermont,BRFSS,Obesity / Weight Status,24.6,5,716,Non-Hispanic White,RACEWHT,50
38983,2013,VA,Virginia,BRFSS,Obesity / Weight Status,25.6,5,968,Non-Hispanic White,RACEWHT,51
15077,2013,WA,Washington,BRFSS,Obesity / Weight Status,27.9,8,882,Non-Hispanic White,RACEWHT,53
33554,2013,WV,West Virginia,BRFSS,Obesity / Weight Status,35.1,5,274,Non-Hispanic White,RACEWHT,54
21044,2013,WI,Wisconsin,BRFSS,Obesity / Weight Status,29.5,5,288,Non-Hispanic White,RACEWHT,55
32313,2013,WY,Wyoming,BRFSS,Obesity / Weight Status,27.3,5,559,Non-Hispanic White,RACEWHT,56
951,2013,PR,Puerto Rico,BRFSS,Obesity / Weight Status,~,~,Non-Hispanic White,RACEWHT,72
