ID,Description,LocationAbbr,LocationDesc,DataSource,Topic,Data_Value,Sample_Size,Stratification1,StratificationId1,LocationDisplayOrder
1526,2015,US,National,BRFSS,Obesity / Weight Status,32.1,36,483,$25,000 - $34,999,INC2535,0
23505,2015,AL,Alabama,BRFSS,Obesity / Weight Status,38.8,683,$25,000 - $34,999,INC2535,1
16855,2015,AK,Alaska,BRFSS,Obesity / Weight Status,26,269,$25,000 - $34,999,INC2535,2
3073,2015,AZ,Arizona,BRFSS,Obesity / Weight Status,28,631,$25,000 - $34,999,INC2535,4
33007,2015,AR,Arkansas,BRFSS,Obesity / Weight Status,32.5,515,$25,000 - $34,999,INC2535,5
1915,2015,CA,California,BRFSS,Obesity / Weight Status,30.2,973,$25,000 - $34,999,INC2535,6
11137,2015,CO,Colorado,BRFSS,Obesity / Weight Status,23.7,1,051,$25,000 - $34,999,INC2535,8
21068,2015,CT,Connecticut,BRFSS,Obesity / Weight Status,29.1,758,$25,000 - $34,999,INC2535,9
35593,2015,DE,Delaware,BRFSS,Obesity / Weight Status,33.2,363,$25,000 - $34,999,INC2535,10
5069,2015,DC,District of Columbia,BRFSS,Obesity / Weight Status,19.8,233,$25,000 - $34,999,INC2535,11
20047,2015,FL,Florida,BRFSS,Obesity / Weight Status,28.7,847,$25,000 - $34,999,INC2535,12
22127,2015,GA,Georgia,BRFSS,Obesity / Weight Status,30.8,396,$25,000 - $34,999,INC2535,13
1480,2015,HI,Hawaii,BRFSS,Obesity / Weight Status,23.3,676,$25,000 - $34,999,INC2535,15
37675,2015,ID,Idaho,BRFSS,Obesity / Weight Status,30.3,670,$25,000 - $34,999,INC2535,16
19431,2015,IL,Illinois,BRFSS,Obesity / Weight Status,30.1,472,$25,000 - $34,999,INC2535,17
17887,2015,IN,Indiana,BRFSS,Obesity / Weight Status,38.1,543,$25,000 - $34,999,INC2535,18
2386,2015,IA,Iowa,BRFSS,Obesity / Weight Status,38.7,535,$25,000 - $34,999,INC2535,19
10401,2015,KS,Kansas,BRFSS,Obesity / Weight Status,38,1,980,$25,000 - $34,999,INC2535,20
10006,2015,KY,Kentucky,BRFSS,Obesity / Weight Status,39,617,$25,000 - $34,999,INC2535,21
6828,2015,LA,Louisiana,BRFSS,Obesity / Weight Status,40,396,$25,000 - $34,999,INC2535,22
25008,2015,ME,Maine,BRFSS,Obesity / Weight Status,30.2,874,$25,000 - $34,999,INC2535,23
30514,2015,MD,Maryland,BRFSS,Obesity / Weight Status,33.7,818,$25,000 - $34,999,INC2535,24
